Img;Dia;Hora;Pir;Sar;Tar;Tex;Taq;Urt
2018-09-04 15_58_49.png;04_09_2018;15_58_49;34.594;0.04;10.635;16.741;18.177;107.188
2018-09-04 15_59_05.png;04_09_2018;15_59_05;34.907;0.128;10.722;16.72;18.037;107.066
2018-09-04 15_59_20.png;04_09_2018;15_59_20;35.003;0.107;10.679;16.697;18.076;107.064
2018-09-04 15_59_36.png;04_09_2018;15_59_36;35.186;1.7;10.877;16.673;18.07;107.086
2018-09-04 15_59_52.png;04_09_2018;15_59_52;35.149;0.949;10.628;16.589;18.022;107.106
2018-09-04 16_00_08.png;04_09_2018;16_00_08;35.294;0.13;10.779;16.623;18.029;107.23
2018-09-04 16_00_23.png;04_09_2018;16_00_23;35.149;0.079;10.737;16.613;18.033;107.204
2018-09-04 16_00_39.png;04_09_2018;16_00_39;35.2;0.09;10.739;16.643;18.012;107.079
2018-09-04 16_00_55.png;04_09_2018;16_00_55;35.284;0.108;10.759;16.588;17.961;107.118
2018-09-04 16_01_10.png;04_09_2018;16_01_10;35.356;0.071;10.635;16.632;17.973;107.268
2018-09-04 16_01_26.png;04_09_2018;16_01_26;35.023;0.189;10.813;16.607;18.001;107.263
2018-09-04 16_01_42.png;04_09_2018;16_01_42;34.748;0.179;10.742;16.594;18.001;107.134
2018-09-04 16_01_58.png;04_09_2018;16_01_58;34.566;0.07;10.538;16.632;18.016;107.165
2018-09-04 16_02_13.png;04_09_2018;16_02_13;33.484;0.092;10.527;16.588;17.93;107.305
2018-09-04 16_02_29.png;04_09_2018;16_02_29;33.157;0.083;10.517;16.569;17.941;107.326
2018-09-04 16_02_45.png;04_09_2018;16_02_45;32.111;0.079;10.508;16.562;17.897;107.325
2018-09-04 16_03_01.png;04_09_2018;16_03_01;31.947;0.053;10.509;16.543;17.881;107.397
2018-09-04 16_03_17.png;04_09_2018;16_03_17;31.764;0.084;10.535;16.552;17.855;107.31
2018-09-04 16_03_32.png;04_09_2018;16_03_32;30.7;0.06;10.619;16.562;17.88;107.206
2018-09-04 16_03_48.png;04_09_2018;16_03_48;30.637;0.073;10.524;16.539;17.819;107.248
2018-09-04 16_04_04.png;04_09_2018;16_04_04;29.246;0.412;10.657;16.568;17.828;107.347
2018-09-04 16_04_20.png;04_09_2018;16_04_20;28.819;0.352;10.775;16.548;17.851;107.411
2018-09-04 16_04_36.png;04_09_2018;16_04_36;28.442;0.422;10.902;16.527;17.856;107.446
2018-09-04 16_04_51.png;04_09_2018;16_04_51;28.516;0.488;10.874;16.522;17.856;107.463
2018-09-04 16_05_07.png;04_09_2018;16_05_07;26.783;0.468;10.929;16.493;17.757;107.358
2018-09-04 16_05_23.png;04_09_2018;16_05_23;24.12;0.57;10.848;16.499;17.822;107.362
2018-09-04 16_05_39.png;04_09_2018;16_05_39;23.511;0.987;10.924;16.442;17.769;107.394
2018-09-04 16_05_54.png;04_09_2018;16_05_54;23.212;0.869;11.207;16.492;17.758;107.326
2018-09-04 16_06_10.png;04_09_2018;16_06_10;22.372;0.193;11.104;16.496;17.764;107.204
2018-09-04 16_06_26.png;04_09_2018;16_06_26;22.59;0.142;10.814;16.436;17.783;107.305
2018-09-04 16_06_42.png;04_09_2018;16_06_42;22.099;0.076;10.594;16.419;17.771;107.474
2018-09-04 16_06_57.png;04_09_2018;16_06_57;21.722;0.093;10.465;16.394;17.785;107.509
2018-09-04 16_07_13.png;04_09_2018;16_07_13;21.232;0.033;10.269;16.365;17.725;107.63
2018-09-04 16_07_29.png;04_09_2018;16_07_29;20.625;0.052;10.528;16.311;17.734;107.655
2018-09-04 16_07_44.png;04_09_2018;16_07_44;22.198;0.05;10.468;16.33;17.703;107.411
2018-09-04 16_08_00.png;04_09_2018;16_08_00;21.784;0.049;10.362;16.286;17.651;107.363
2018-09-04 16_08_16.png;04_09_2018;16_08_16;21.583;0.062;10.475;16.264;17.598;107.48
2018-09-04 16_08_32.png;04_09_2018;16_08_32;21.448;0.048;10.418;16.23;17.587;107.559
2018-09-04 16_08_47.png;04_09_2018;16_08_47;21.364;0.048;10.463;16.223;17.585;107.469
2018-09-04 16_09_03.png;04_09_2018;16_09_03;21.175;0.059;10.428;16.186;17.608;107.385
2018-09-04 16_09_19.png;04_09_2018;16_09_19;20.853;0.067;10.484;16.176;17.583;107.507
2018-09-04 16_09_35.png;04_09_2018;16_09_35;20.984;0.044;10.469;16.145;17.593;107.454
2018-09-04 16_09_50.png;04_09_2018;16_09_50;20.732;0.04;10.446;16.098;17.592;107.521
2018-09-04 16_10_06.png;04_09_2018;16_10_06;20.676;0.053;10.4;16.08;17.616;107.593
2018-09-04 16_10_22.png;04_09_2018;16_10_22;20.463;0.08;10.496;16.061;17.583;107.562
2018-09-04 16_10_38.png;04_09_2018;16_10_38;20.72;0.067;10.487;16.039;17.529;107.453
2018-09-04 16_10_54.png;04_09_2018;16_10_54;20.397;0.076;10.533;16.059;17.518;107.403
2018-09-04 16_11_09.png;04_09_2018;16_11_09;22.489;0.072;10.464;15.988;17.485;107.52
2018-09-04 16_11_25.png;04_09_2018;16_11_25;22.438;0.068;10.465;15.944;17.479;107.716
2018-09-04 16_11_41.png;04_09_2018;16_11_41;22.83;0.066;10.444;15.907;17.448;107.712
2018-09-04 16_11_56.png;04_09_2018;16_11_56;23.245;0.075;10.459;15.941;17.466;107.59
2018-09-04 16_12_12.png;04_09_2018;16_12_12;23.789;0.077;10.439;15.951;17.439;107.45
