2018-09-09 07_25_11.png;09_09_2018;07_25_11;26.137;0.122;12.669;17.928;15.656;92.327
2018-09-09 07_25_27.png;09_09_2018;07_25_27;27.177;0.064;12.73;17.935;15.629;92.607
2018-09-09 07_25_43.png;09_09_2018;07_25_43;28.151;0.1;12.72;17.92;15.626;92.486
2018-09-09 07_25_59.png;09_09_2018;07_25_59;29.43;0.082;12.65;17.925;15.64;92.464
2018-09-09 07_26_14.png;09_09_2018;07_26_14;30.756;0.033;12.714;17.94;15.672;92.162
2018-09-09 07_26_30.png;09_09_2018;07_26_30;31.947;0.041;12.725;17.962;15.685;92.207
2018-09-09 07_26_46.png;09_09_2018;07_26_46;32.995;0.085;12.719;17.99;15.683;92.426
2018-09-09 07_27_02.png;09_09_2018;07_27_02;33.917;0.065;12.745;17.972;15.698;92.461
2018-09-09 07_27_17.png;09_09_2018;07_27_17;34.488;0.078;12.732;17.978;15.709;92.185
2018-09-09 07_27_33.png;09_09_2018;07_27_33;34.74;0.052;12.715;17.999;15.696;92.433
2018-09-09 07_27_49.png;09_09_2018;07_27_49;35.131;0.084;12.798;18.005;15.668;92.355
2018-09-09 07_28_05.png;09_09_2018;07_28_05;34.76;0.369;12.82;18.01;15.699;91.784
2018-09-09 07_28_20.png;09_09_2018;07_28_20;34.401;0.094;12.858;18.014;15.676;91.867
2018-09-09 07_28_36.png;09_09_2018;07_28_36;33.846;0.079;12.77;17.985;15.659;91.674
2018-09-09 07_28_52.png;09_09_2018;07_28_52;33.406;0.121;12.712;18.007;15.714;91.17
2018-09-09 07_29_08.png;09_09_2018;07_29_08;32.987;0.211;12.759;18.047;15.659;91.415
2018-09-09 07_29_23.png;09_09_2018;07_29_23;32.235;0.069;12.696;18.055;15.673;91.487
2018-09-09 07_29_39.png;09_09_2018;07_29_39;32.211;0.066;12.731;18.049;15.687;91.469
2018-09-09 07_29_55.png;09_09_2018;07_29_55;31.714;0.061;12.776;18.067;15.681;91.566
2018-09-09 07_30_10.png;09_09_2018;07_30_10;31.733;0.081;12.738;18.075;15.677;91.84
2018-09-09 07_30_26.png;09_09_2018;07_30_26;31.635;0.044;12.777;18.073;15.681;91.733
2018-09-09 07_30_42.png;09_09_2018;07_30_42;31.656;0.054;12.816;18.029;15.73;91.699
2018-09-09 07_30_58.png;09_09_2018;07_30_58;31.556;0.105;12.815;18.064;15.683;91.694
2018-09-09 07_31_13.png;09_09_2018;07_31_13;31.518;0.096;12.636;18.068;15.695;91.509
